Tijd (s),PWM (%),Doel Hoogte (m),Daadwerkelijke Hoogte (m),Snelheid (m/s)
0.01,100.0,0.5,0.003,0.272
0.02,100.0,0.5,0.008,0.545
0.03,100.0,0.5,0.016,0.817
0.04,100.0,0.5,0.027,1.089
0.05,100.0,0.5,0.041,1.361
0.06,100.0,0.5,0.057,1.634
0.07,100.0,0.5,0.076,1.906
0.08,100.0,0.5,0.098,2.178
0.09,0.0,0.5,0.119,2.08
0.1,0.0,0.5,0.139,1.982
0.11,0.0,0.5,0.157,1.884
0.12,0.0,0.5,0.175,1.786
0.13,0.0,0.5,0.192,1.688
0.14,0.0,0.5,0.208,1.59
0.15,0.0,0.5,0.223,1.491
0.16,0.0,0.5,0.237,1.393
0.17,0.0,0.5,0.25,1.295
0.18,0.0,0.5,0.262,1.197
0.19,59.0,0.5,0.275,1.318
0.2,0.0,0.5,0.287,1.219
0.21,0.0,0.5,0.298,1.121
0.22,0.0,0.5,0.309,1.023
0.23,0.0,0.5,0.318,0.925
0.24,52.42,0.5,0.328,1.021
0.25,0.0,0.5,0.337,0.923
0.26,0.0,0.5,0.346,0.825
0.27,0.0,0.5,0.353,0.727
0.28,100.0,0.5,0.363,0.999
0.29,0.0,0.5,0.372,0.901
0.3,0.0,0.5,0.38,0.803
0.31,0.0,0.5,0.387,0.705
0.32,0.0,0.5,0.393,0.607
0.33,0.0,0.5,0.398,0.509
0.34,96.8,0.5,0.406,0.769
0.35,0.0,0.5,0.413,0.671
0.36,0.0,0.5,0.418,0.573
0.37,0.0,0.5,0.423,0.475
0.38,0.0,0.5,0.427,0.377
0.39,78.44,0.5,0.432,0.569
0.4,0.0,0.5,0.437,0.471
0.41,0.0,0.5,0.441,0.373
0.42,0.0,0.5,0.444,0.275
0.43,100.0,0.5,0.449,0.547
0.44,0.0,0.5,0.454,0.449
0.45,0.0,0.5,0.457,0.351
0.46,0.0,0.5,0.46,0.253
0.47,1.78,0.5,0.461,0.161
0.48,100.0,0.5,0.466,0.434
0.49,0.0,0.5,0.469,0.335
0.5,0.0,0.5,0.471,0.237
0.51,0.0,0.5,0.473,0.139
0.52,99.78,0.5,0.477,0.411
0.53,0.0,0.5,0.48,0.313
0.54,0.0,0.5,0.482,0.214
0.55,0.0,0.5,0.483,0.116
0.56,40.86,0.5,0.485,0.17
0.57,0.0,0.5,0.486,0.072
0.58,100.0,0.5,0.489,0.344
0.59,0.0,0.5,0.492,0.246
0.6,0.0,0.5,0.493,0.148
0.61,0.0,0.5,0.494,0.05
0.62,72.48,0.5,0.496,0.22
0.63,0.0,0.5,0.497,0.122
0.64,0.0,0.5,0.497,0.024
0.65,87.75,0.5,0.5,0.251
0.66,0.0,0.5,0.501,0.152
0.67,0.0,0.5,0.502,0.054
0.68,0.0,0.5,0.501,-0.044
0.69,100.0,0.5,0.504,0.229
0.7,0.0,0.5,0.505,0.13
0.71,0.0,0.5,0.505,0.032
0.72,0.0,0.5,0.505,-0.066
0.73,100.0,0.5,0.507,0.206
0.74,0.0,0.5,0.508,0.108
0.75,0.0,0.5,0.508,0.01
0.76,7.59,0.5,0.507,-0.06
0.77,100.0,0.5,0.509,0.213
0.78,0.0,0.5,0.511,0.114
0.79,0.0,0.5,0.511,0.016
0.8,0.0,0.5,0.51,-0.082
0.81,100.0,0.5,0.512,0.191
0.82,0.0,0.5,0.513,0.092
0.83,0.0,0.5,0.513,-0.006
0.84,0.0,0.5,0.512,-0.104
0.85,100.0,0.5,0.513,0.169
0.86,0.0,0.5,0.514,0.07
0.87,0.0,0.5,0.514,-0.028
0.88,23.5,0.5,0.513,-0.039
0.89,49.38,0.5,0.514,0.046
0.9,0.0,0.5,0.513,-0.052
0.91,76.33,0.5,0.515,0.133
0.92,0.0,0.5,0.515,0.034
0.93,0.0,0.5,0.514,-0.064
0.94,88.77,0.5,0.516,0.167
0.95,0.0,0.5,0.517,0.069
0.96,0.0,0.5,0.516,-0.029
0.97,0.0,0.5,0.515,-0.127
0.98,100.0,0.5,0.517,0.145
0.99,0.0,0.5,0.517,0.047
1.0,0.0,0.5,0.517,-0.051
1.01,0.0,0.36,0.515,-0.149
1.02,0.0,0.36,0.513,-0.247
1.03,0.0,0.36,0.509,-0.346
1.04,0.0,0.36,0.505,-0.444
1.05,0.0,0.36,0.499,-0.542
1.06,0.0,0.36,0.493,-0.64
1.07,41.88,0.36,0.487,-0.583
1.08,0.0,0.36,0.48,-0.681
1.09,100.0,0.36,0.476,-0.409
1.1,0.0,0.36,0.471,-0.507
1.11,0.0,0.36,0.465,-0.605
1.12,100.0,0.36,0.462,-0.333
1.13,0.0,0.36,0.457,-0.431
1.14,0.0,0.36,0.452,-0.529
1.15,100.0,0.36,0.45,-0.256
1.16,0.0,0.36,0.446,-0.355
1.17,0.0,0.36,0.441,-0.453
1.18,100.0,0.36,0.44,-0.18
1.19,0.0,0.36,0.437,-0.279
1.2,0.0,0.36,0.433,-0.377
1.21,99.37,0.36,0.432,-0.107
1.22,0.0,0.36,0.43,-0.205
1.23,0.0,0.36,0.427,-0.303
1.24,11.21,0.36,0.423,-0.359
1.25,100.0,0.36,0.422,-0.087
1.26,0.0,0.36,0.421,-0.185
1.27,0.0,0.36,0.418,-0.283
1.28,61.32,0.36,0.416,-0.154
1.29,0.0,0.36,0.414,-0.252
1.3,39.05,0.36,0.412,-0.206
1.31,0.0,0.36,0.409,-0.304
1.32,100.0,0.36,0.408,-0.032
1.33,0.0,0.36,0.407,-0.13
1.34,0.0,0.36,0.405,-0.228
1.35,77.6,0.36,0.404,-0.039
1.36,0.0,0.36,0.403,-0.137
1.37,0.0,0.36,0.401,-0.235
1.38,100.0,0.36,0.401,0.037
1.39,0.0,0.36,0.4,-0.061
1.4,0.0,0.36,0.399,-0.159
1.41,0.0,0.36,0.396,-0.257
1.42,100.0,0.36,0.396,0.015
1.43,0.0,0.36,0.396,-0.083
1.44,0.0,0.36,0.394,-0.181
1.45,89.12,0.36,0.394,0.051
1.46,0.0,0.36,0.394,-0.047
1.47,0.0,0.36,0.392,-0.145
1.48,30.67,0.36,0.391,-0.13
1.49,12.31,0.36,0.389,-0.182
1.5,100.0,0.36,0.39,0.09
1.51,0.0,0.36,0.39,-0.008
1.52,0.0,0.36,0.389,-0.106
1.53,0.0,0.36,0.387,-0.204
1.54,100.0,0.36,0.388,0.068
1.55,0.0,0.36,0.387,-0.03
1.56,0.0,0.36,0.386,-0.128
1.57,56.92,0.36,0.386,-0.015
1.58,0.0,0.36,0.385,-0.113
1.59,40.03,0.36,0.384,-0.063
1.6,0.0,0.36,0.383,-0.161
1.61,100.0,0.36,0.384,0.111
1.62,0.0,0.36,0.384,0.013
